coastal_category,competitor_brand,competitor_sku,size,retail_price_usd,certifications,positioning,url,verified_date
coffee-single-origin,Blue Bottle Coffee,Three Africas Blend,12oz,18.00,None_listed,specialty-direct-trade,https://bluebottlecoffee.com/us/eng/product/three-africas,2026-04-29
coffee-single-origin,Stumptown Coffee,Hair Bender 12oz,12oz,18.50,None_listed,specialty-third-wave,https://www.stumptowncoffee.com/products/hair-bender,2026-04-29
coffee-single-origin,Counter Culture,Hologram 12oz,12oz,21.99,Organic+Sustainably_Farmed,specialty-organic,https://counterculturecoffee.com/products/12-oz-hologram,2026-04-29
coffee-single-origin,Verve Coffee,Latin America Single Origin 12oz,12oz,19.75,None_listed,specialty-direct-trade,https://www.vervecoffee.com/collections/single-origin,2026-04-29
coffee-single-origin,Equator Coffees,French Roast Fair Trade Organic 12oz,12oz,19.75,Fairtrade+Organic+Regenerative_Organic_Certified,specialty-fair-trade-organic,https://www.equatorcoffees.com/products/french-roast-fair-trade-organic-retail,2026-04-29
coffee-single-origin,Intelligentsia Coffee,House Blend 12oz,12oz,19.00,None_listed,specialty-direct-trade,https://wholesale.intelligentsiacoffee.com/12oz_Intelligentsia_House_Blend,2026-04-29
coffee-single-origin,Temecula Coffee Roasters,Fairtrade Sumatra 12oz,12oz,24.49,Fairtrade,vendor-our-source,https://temeculacoffeeroasters.com/products/fairtrade%C2%AE-sumatra-medium-dark-roast-organic,2026-04-29
coffee-decaf,Counter Culture,Slow Motion Decaf 12oz,12oz,17.99,Organic+Swiss_Water,specialty-organic-decaf,https://counterculturecoffee.com/products/12-oz-slow-motion,2026-04-29
coffee-decaf,Death Wish Coffee,Decaf Dark Roast Ground 16oz,16oz,16.44,Organic+Fairtrade,mass-organic-fairtrade,https://www.walmart.com/ip/Death-Wish-Coffee-Organic-and-Fair-Trade-Dark-Roast-Ground-Coffee-16oz/120705196,2026-04-29
coffee-dark-roast,Death Wish Coffee,Organic Fair Trade Dark Roast Ground 16oz,16oz,16.44,Organic+Fairtrade,mass-organic-fairtrade,https://www.walmart.com/ip/Death-Wish-Coffee-Organic-and-Fair-Trade-Dark-Roast-Ground-Coffee-16oz/120705196,2026-04-29
coffee-dark-roast,Equator Coffees,French Roast Fair Trade Organic 12oz,12oz,19.75,Fairtrade+Organic+Regenerative_Organic_Certified,specialty-fair-trade-organic,https://www.equatorcoffees.com/products/french-roast-fair-trade-organic-retail,2026-04-29
coffee-dark-roast,Counter Culture,Forty-Six Dark Roast 12oz,12oz,21.99,Organic+Sustainably_Farmed,specialty-organic,https://www.amazon.com/Counter-Culture-Coffee-Forty-Whole/dp/B0764KPS75,2026-04-29
tea-black-bagged,Harney & Sons,English Breakfast 50 sachets,50ct,19.99,None_listed,heritage-blender,https://www.harney.com/products/english-breakfast-50-sachet-bag,2026-04-29
tea-black-bagged,Harney & Sons,Earl Grey 50 sachets,50ct,19.99,None_listed,heritage-blender,https://www.harney.com/products/earl-grey-bag-of-50-sachets,2026-04-29
tea-black-bagged,Harney & Sons,Earl Grey Supreme 50 sachets,50ct,19.99,None_listed,heritage-premium,https://www.harney.com/products/earl-grey-supreme-50-sachet-bag,2026-04-29
tea-green-bagged,Numi Organic Tea,Jasmine Green 18 sachets,18ct,8.99,USDA_Organic+Fairtrade,wellness-dual-cert,https://numitea.com/,2026-04-29
tea-loose-leaf,Rishi Tea & Botanicals,Various 1lb wholesale,1lb,~60.00,Organic+Direct_Trade,specialty-direct-trade-organic,https://www.rishi-tea.com/,2026-04-29
tea-loose-leaf,Temecula Coffee Roasters,Earl Grey 3oz,3oz,19.99,None_visible_on_product_page,vendor-our-source,https://temeculacoffeeroasters.com/pages/tea-dropship,2026-04-29
matcha-ceremonial,Ippodo Tea,Kan 30g (sale price),30g,28.00,None_listed_for_export,kyoto-1717-heritage,https://kanso-tea.com/products/kan-by-ippodo-tea,2026-04-29
matcha-ceremonial,Mizuba Tea,Yorokobi Organic Ceremonial 30g,30g,40.00,JAS_Organic+Single_Estate,uji-organic-premium,https://mizubatea.com/products/yorokobi-ceremonial-organic-matcha,2026-04-29
matcha-ceremonial,Temecula Coffee Roasters,Ceremonial Matcha 1oz,1oz (~28g),24.99,None_listed,vendor-our-source,https://temeculacoffeeroasters.com/products/matcha-ceremonial-matcha,2026-04-29
matcha-with-mushrooms,Temecula Coffee Roasters,Ceremonial Matcha with Mushrooms 1oz,1oz,29.00,None_listed,vendor-functional,https://temeculacoffeeroasters.com/products/ceremonial-matcha-with-mushrooms,2026-04-29
sample-pack,Temecula Coffee Roasters,Single Origin Sample Pack,sampler,30.00,None_listed,vendor-trial,https://temeculacoffeeroasters.com/pages/shop-1,2026-04-29
sample-pack,Equator Coffees,Fair Trade Organic Coffee Set,sampler,~45.00,Fairtrade+Organic,specialty-fair-trade-organic,https://www.equatorcoffees.com/products/fair-trade-organic-coffee-set,2026-04-29
