gap_id,category,priority,title,status,description,files_affected,estimated_effort,assigned_to,due_date,evidence_ref
GAP-001,Security,P0,Remove debug/test API endpoints,OPEN,"Debug endpoints /api/test/e2b and /api/test/groq exposed in production",frontend/app/api/test/e2b/route.ts;frontend/app/api/test/groq/route.ts,5 min,,,"evidence_standards.md#3"
GAP-002,Error Handling,P0,Add React error boundaries,OPEN,"No error.tsx files in app router; unhandled errors show raw error page",frontend/app/error.tsx;frontend/app/dashboard/error.tsx,15 min,,,"evidence_standards.md#4"
GAP-003,Deployment,P0,Add resource limits to frontend and gateway,OPEN,"Frontend and UEF Gateway containers have no CPU/memory limits",infra/docker-compose.prod.yml,5 min,,,"evidence_standards.md#7"
GAP-004,Database,P1,Create user database schema,OPEN,"No persistent user/profile storage; NextAuth JWT only stores session",frontend/lib/db/schema.ts;frontend/lib/db/index.ts,1 hr,,,"evidence_standards.md#2"
GAP-005,Testing,P1,Frontend component tests,OPEN,"Zero test coverage for 49 frontend components",frontend/__tests__/;frontend/vitest.config.ts,2 hr,,,"evidence_standards.md#5"
GAP-006,Deployment,P1,Database backup automation,OPEN,"No automated backup strategy for SQLite or file-based data",scripts/backup.sh;crontab,30 min,,,"evidence_standards.md#2"
GAP-007,Observability,P1,Set up error tracking (Sentry),OPEN,"No error tracking or APM; production errors go unnoticed",frontend/sentry.client.config.ts;frontend/sentry.server.config.ts,30 min,,,"evidence_standards.md#7"
GAP-008,Authentication,P1,Implement password recovery flow,OPEN,"Forgot-password UI exists but no backend handler",frontend/app/api/auth/forgot-password/route.ts;frontend/app/api/auth/reset-password/route.ts,2 hr,,,"evidence_standards.md#1"
GAP-009,Frontend,P2,Complete stub dashboard pages,OPEN,"9 dashboard pages are stubs (admin boomerangs build chat circuit-box environments house-of-ang lab pipelines)",frontend/app/dashboard/*/page.tsx,8 hr,,,"evidence_standards.md#4"
GAP-010,API Routes,P2,Complete stub API routes,OPEN,"5 API routes are stubs/incomplete (diy admin/api-keys boomerangs deploy invite make-it-mine)",frontend/app/api/*/route.ts,4 hr,,,"evidence_standards.md#3"
GAP-011,Documentation,P2,API documentation (OpenAPI),OPEN,"No API documentation for 32 endpoints",docs/openapi.yaml,2 hr,,,"evidence_standards.md#8"
GAP-012,Deployment,P2,Rollback procedure documentation,OPEN,"No documented rollback procedure for failed deployments",docs/deployment-runbook.md,30 min,,,"evidence_standards.md#7"
GAP-013,Observability,P2,Uptime monitoring,OPEN,"No external monitoring or alerting for service outages",,15 min,,,"evidence_standards.md#7"
GAP-014,Frontend,P3,Add loading states to dashboard pages,OPEN,"Most dashboard pages lack loading.tsx skeleton screens",frontend/app/dashboard/loading.tsx,30 min,,,"evidence_standards.md#4"
GAP-015,Frontend,P3,Client-side form validation with Zod,OPEN,"Zod is in deps but not wired to forms; only basic presence checks",frontend/lib/validation/,1 hr,,,"evidence_standards.md#4"
GAP-016,Frontend,P3,Accessibility audit (ARIA attributes),OPEN,"No ARIA attributes visible; Lighthouse audit needed",frontend/components/,2 hr,,,"evidence_standards.md#4"
GAP-017,Documentation,P3,Data retention policy documentation,OPEN,"No data retention policy documented",docs/data-retention.md,30 min,,,"evidence_standards.md#2"
GAP-018,Documentation,P3,PII handling documentation,OPEN,"No PII handling documentation",docs/pii-handling.md,30 min,,,"evidence_standards.md#2"
GAP-019,Documentation,P3,Architecture Decision Records,OPEN,"No ADRs for architectural choices",docs/adr/,1 hr,,,"evidence_standards.md#8"
GAP-020,Observability,P3,Log aggregation setup,OPEN,"No centralized log collection (ELK/Loki/CloudWatch)",infra/docker-compose.prod.yml,2 hr,,,"evidence_standards.md#7"
GAP-021,Documentation,P3,Incident response plan,OPEN,"No runbook for outages or incidents",docs/incident-response.md,1 hr,,,"evidence_standards.md#8"
GAP-022,Security,P3,Redis-backed rate limiting,OPEN,"Rate limiting uses in-memory store; resets on deploy",frontend/middleware.ts;frontend/lib/rate-limit.ts,1 hr,,,"evidence_standards.md#6"
GAP-023,Database,P3,Unified database strategy,OPEN,"Mixed persistence: SQLite + file-based + PostgreSQL across layers",docs/adr/database-strategy.md,2 hr,,,"evidence_standards.md#2"
